9,6,0
0,54,92
8,158,98
19,30,0
10,31,0
28,42,45
10,16,8
18,34,0
33,46,79
14,4,7
11,18,14
7,4,7
193,84,0
140,284,214
31,30,26
30,50,44
3,2,3
41,80,117
10,6,37
2,4,4
5,10,11
0,2,2
11,8,28
7,8,5
13,22,27
16,178,23
4,6,5
4,8,6
22,36,26
9,4,1
11,20,18
16,22,18
0,20,7
6,8,7
15,18,70
35,72,0
30,36,23
7,2,3
10,16,36
13,24,0
4,12,5
21,36,0
12,10,11
0,10,0
479,960,289
7,10,7
5,8,5
25,44,44
17,26,43
139,274,60
6,8,7
12,18,0
2,4,3
12,22,21
0,20,31
36,44,0
10,16,121
5,8,212
10,16,9
7,10,108
0,58,301
8,8,12
8,14,14
10,36,0
7,4,4
0,2228,263
21,36,85
0,142,141
37,64,251
7,10,0
2,10,3
25,34,73
12,8,95
11,8,33
3,4,4
1350,7946,0
8,14,11
36,44,64
6,8,8
2,4,8
12,12,10
11,22,195
5,6,12
10,12,10
6,10,102
14,14,10
10,8,0
20,36,0
17,32,145
33,66,0
33,72,122
25,26,37
6,12,41
16,36,224
14,22,186
3,2,21
